month,AI,Machine Learning,ChatGPT,Deep Learning
May24,24.69,11.49,0.49,0.98
Apr24,21.84,14.33,0.34,0.68
Mar24,21.78,14.85,0.33,1.32
Feb24,19.48,13.75,0.57,1.15
Jan24,24.56,18.6,0.35,1.4
Dec23,23.91,16.15,0.62,2.48
Nov23,19.73,13.07,0.53,1.33
Oct23,19.53,16.33,0.87,1.75
Sep23,18.27,15.71,0.32,1.28
Aug23,15.51,14.13,0.0,1.39
Jul23,16.11,15.2,0.3,2.43
Jun23,15.41,13.66,0.0,2.33
May23,12.2,13.41,0.49,1.95
Apr23,11.05,15.09,0.27,2.43
Mar23,11.46,14.08,0.24,1.43
Feb23,12.14,14.35,0.22,1.77
Jan23,8.87,12.9,0.0,2.15
Dec22,10.84,13.5,0.0,2.04
Nov22,12.62,12.62,0.0,1.69
Oct22,10.15,11.02,0.0,1.51
Sep22,10.41,14.54,0.0,2.16
Aug22,9.92,13.49,0.0,2.17
Jul22,8.97,13.08,0.0,2.43
Jun22,7.65,11.48,0.0,2.05
May22,7.42,13.8,0.0,2.34
Apr22,7.18,11.97,0.0,2.13
Mar22,7.41,13.19,0.0,2.01
Feb22,7.03,12.58,0.0,2.34
Jan22,6.29,12.57,0.0,1.8
Dec21,7.51,11.73,0.0,1.58
Nov21,5.88,9.59,0.0,1.44
Oct21,8.24,11.28,0.0,1.39
Sep21,7.29,10.77,0.0,2.07
Aug21,5.65,10.35,0.0,1.53
Jul21,7.57,12.25,0.0,1.89
Jun21,6.88,11.03,0.0,2.13
May21,6.05,10.36,0.0,1.51
Apr21,7.03,12.36,0.0,2.04
Mar21,7.14,10.32,0.0,1.65
Feb21,7.59,11.49,0.0,1.9
Jan21,7.01,12.06,0.0,1.54
Dec20,7.56,13.27,0.0,2.43
Nov20,7.56,12.13,0.0,3.28
Oct20,7.68,12.99,0.0,1.68
Sep20,7.26,12.38,0.0,2.64
Aug20,7.41,9.88,0.0,2.01
Jul20,7.37,12.89,0.0,3.13
Jun20,7.63,10.96,0.0,3.13
May20,7.28,12.8,0.0,2.36
Apr20,9.31,15.58,0.0,3.46
Mar20,6.41,13.28,0.0,2.6
Feb20,8.47,13.56,0.0,2.2
Jan20,7.16,12.44,0.0,2.04
Dec19,6.93,13.53,0.0,2.48
Nov19,6.24,11.87,0.0,1.98
Oct19,7.37,13.92,0.0,2.18
Sep19,8.46,12.52,0.0,1.3
Aug19,6.75,12.55,0.0,2.7
Jul19,6.52,14.21,0.0,1.83
Jun19,6.52,12.15,0.0,1.93
May19,7.36,12.55,0.0,2.41
Apr19,6.61,13.74,0.0,1.98
Mar19,5.67,11.86,0.0,1.84
Feb19,6.13,15.1,0.0,2.56
Jan19,7.54,12.28,0.0,2.05
Dec18,6.62,12.74,0.0,1.66
Nov18,6.38,12.08,0.0,1.9
Oct18,4.48,13.43,0.0,2.07
Sep18,6.47,12.8,0.0,2.39
Aug18,6.62,12.23,0.0,1.46
Jul18,6.14,13.08,0.0,2.4
Jun18,6.19,13.03,0.0,1.55
May18,5.94,12.88,0.0,1.61
Apr18,5.69,14.29,0.0,2.21
Mar18,5.21,12.8,0.0,1.93
Feb18,6.31,13.74,0.0,2.23
Jan18,6.22,12.3,0.0,2.37
Dec17,5.4,13.19,0.0,2.76
Nov17,5.51,12.31,0.0,2.27
Oct17,4.98,12.4,0.0,2.1
Sep17,6.06,11.99,0.0,3.03
Aug17,4.78,13.01,0.0,3.32
Jul17,5.42,13.42,0.0,2.58
Jun17,3.61,12.3,0.0,2.81
May17,4.32,12.95,0.0,2.33
Apr17,4.28,12.28,0.0,1.93
Mar17,3.49,9.6,0.0,1.12
Feb17,2.92,10.31,0.0,1.25
Jan17,2.22,11.09,0.0,1.27
Dec16,2.88,9.55,0.0,1.36
Nov16,2.57,11.45,0.0,2.34
Oct16,2.09,8.36,0.0,1.6
Sep16,3.66,10.06,0.0,1.22
Aug16,2.8,10.0,0.0,0.8
Jul16,2.56,8.96,0.0,1.14
Jun16,1.88,8.27,0.0,0.63
May16,2.47,10.16,0.0,0.87
Apr16,1.82,8.58,0.0,1.49
Mar16,1.17,9.06,0.0,1.46
Feb16,1.35,9.3,0.0,1.5
Jan16,1.84,10.76,0.0,1.57
Dec15,1.64,10.41,0.0,1.1
Nov15,1.52,7.58,0.0,0.96
Oct15,1.41,5.94,0.0,0.63
Sep15,1.55,8.58,0.0,0.84
Aug15,0.99,8.02,0.0,0.99
Jul15,1.04,8.06,0.0,0.69
Jun15,0.98,8.01,0.0,0.82
May15,1.03,8.09,0.0,0.74
Apr15,1.05,7.34,0.0,0.39
Mar15,1.16,8.12,0.0,0.97
Feb15,0.99,9.13,0.0,0.79
Jan15,0.0,9.25,0.0,0.71
Dec14,0.21,9.3,0.0,0.21
Nov14,0.86,9.17,0.0,0.57
Oct14,0.55,8.86,0.0,0.55
Sep14,0.69,10.07,0.0,0.35
Aug14,1.19,9.34,0.0,0.2
Jul14,0.0,9.3,0.0,0.47
Jun14,0.28,7.58,0.0,0.28
May14,0.48,7.64,0.0,0.0
Apr14,0.82,7.63,0.0,0.27
Mar14,0.0,8.09,0.0,0.0
Feb14,0.3,8.61,0.0,0.0
Jan14,0.0,5.31,0.0,0.0
Dec13,0.38,6.08,0.0,0.0
Nov13,0.97,8.74,0.0,0.0
Oct13,0.45,6.26,0.0,0.0
Sep13,1.23,9.05,0.0,0.0
Aug13,0.31,6.29,0.0,0.0
Jul13,1.0,7.0,0.0,0.0
Jun13,1.09,8.33,0.0,0.0
May13,0.6,7.14,0.0,0.0
Apr13,1.15,8.02,0.0,0.0
Mar13,0.68,8.84,0.0,0.0
Feb13,0.44,10.18,0.0,0.0
Jan13,1.01,6.06,0.0,0.0
Dec12,0.41,6.64,0.0,0.0
Nov12,0.43,6.09,0.0,0.0
Oct12,1.15,6.92,0.0,0.0
Sep12,0.9,8.56,0.0,0.0
Aug12,0.38,8.37,0.0,0.0
Jul12,1.47,7.35,0.0,0.0
Jun12,1.27,10.59,0.0,0.0
May12,1.26,8.4,0.0,0.0
Apr12,0.0,6.31,0.0,0.0
Mar12,0.0,3.09,0.0,0.0
Feb12,0.48,4.83,0.0,0.0
Jan12,1.99,5.96,0.0,0.0
Dec11,0.0,0.0,0.0,0.0
Nov11,0.0,4.17,0.0,0.0
Oct11,1.0,3.0,0.0,0.0
Sep11,0.51,4.62,0.0,0.0
Aug11,1.25,3.33,0.0,0.0
Jun11,0.75,2.25,0.0,0.0
May11,1.35,1.79,0.0,0.0
Apr11,0.46,3.2,0.0,0.0
